Date,Mkt-RF,SMB,HML,RF
201401,-3.32,0.89,-2.07,0
201402,4.65,0.34,-0.31,0
201403,0.43,-1.81,4.93,0
201404,-0.19,-4.18,1.17,0
201405,2.06,-1.88,-0.13,0
201406,2.61,3.09,-0.7,0
201407,-2.04,-4.3,0.04,0
201408,4.24,0.4,-0.45,0
201409,-1.97,-3.7,-1.35,0
201410,2.52,4.2,-1.8,0
201411,2.55,-2.06,-3.1,0
201412,-0.06,2.49,2.27,0
201501,-3.11,-0.56,-3.59,0
201502,6.13,0.63,-1.86,0
201503,-1.12,3.04,-0.38,0
201504,0.59,-3.06,1.82,0
201505,1.36,0.94,-1.15,0
201506,-1.53,2.91,-0.79,0
201507,1.54,-4.17,-4.13,0
201508,-6.04,0.33,2.77,0
201509,-3.07,-2.62,0.56,0
201510,7.75,-1.89,-0.46,0
201511,0.57,3.59,-0.42,0
201512,-2.17,-2.85,-2.61,0.01
201601,-5.77,-3.42,2.09,0.01
201602,-0.07,0.74,-0.57,0.02
201603,6.96,0.82,1.19,0.02
201604,0.91,0.76,3.28,0.01
201605,1.78,-0.17,-1.66,0.01
201606,-0.05,0.61,-1.48,0.02
201607,3.95,2.49,-1.32,0.02
201608,0.49,1.16,3.18,0.02
201609,0.25,2.12,-1.24,0.02
201610,-2.02,-4.4,4.09,0.02
201611,4.86,5.71,8.21,0.01
201612,1.82,0.1,3.53,0.03
201701,1.94,-1.18,-2.75,0.04
201702,3.57,-2.05,-1.67,0.04
201703,0.17,1.14,-3.35,0.03
201704,1.09,0.73,-2.13,0.05
201705,1.06,-2.57,-3.78,0.06
201706,0.78,2.25,1.48,0.06
201707,1.87,-1.5,-0.31,0.07
201708,0.16,-1.67,-2.1,0.09
201709,2.51,4.47,3.12,0.09
201710,2.25,-1.94,0.19,0.09
201711,3.12,-0.54,-0.03,0.08
201712,1.06,-1.32,0.06,0.09
201801,5.57,-3.12,-1.28,0.12
201802,-3.65,0.26,-1.04,0.11
201803,-2.35,4.06,-0.2,0.11
201804,0.29,1.13,0.54,0.14
201805,2.65,5.26,-3.22,0.14
201806,0.48,1.14,-2.33,0.14
201807,3.19,-2.22,0.45,0.16
201808,3.44,1.15,-4,0.16
201809,0.06,-2.29,-1.71,0.15
201810,-7.68,-4.74,3.4,0.19
201811,1.69,-0.68,0.28,0.18
201812,-9.57,-2.37,-1.88,0.2
201901,8.4,2.88,-0.45,0.21
201902,3.4,2.06,-2.71,0.18
201903,1.1,-3.05,-4.12,0.19
201904,3.97,-1.72,2.16,0.21
201905,-6.94,-1.31,-2.37,0.21
201906,6.93,0.28,-0.7,0.18
201907,1.19,-1.93,0.47,0.19
201908,-2.58,-2.39,-4.79,0.16
201909,1.43,-0.97,6.77,0.18
201910,2.06,0.29,-1.9,0.16
201911,3.88,0.78,-1.99,0.12
201912,2.77,0.73,1.78,0.14
202001,-0.11,-3.13,-6.25,0.13
202002,-8.13,1.07,-3.8,0.12
202003,-13.39,-4.79,-13.88,0.13
202004,13.65,2.45,-1.34,0
202005,5.58,2.49,-4.85,0.01
202006,2.46,2.69,-2.23,0.01
202007,5.77,-2.3,-1.44,0.01
202008,7.63,-0.28,-2.88,0.01
202009,-3.63,-0.03,-2.65,0.01
202010,-2.1,4.27,4.31,0.01
202011,12.47,5.72,2.15,0.01
202012,4.63,4.79,-1.34,0.01
202101,-0.03,7.5,2.85,0.01
202102,2.78,2.07,7.1,0
202103,3.08,-2.28,7.27,0
202104,4.93,-3.2,-0.95,0
202105,0.29,-0.27,7.13,0
202106,2.75,1.6,-7.75,0
202107,1.27,-3.94,-1.81,0
202108,2.91,-0.46,-0.1,0
202109,-4.37,0.67,5.1,0
202110,6.65,-2.37,-0.45,0
202111,-1.55,-1.32,-0.41,0
202112,3.1,-1.64,3.22,0.01
202201,-6.25,-5.96,12.8,0
202202,-2.29,2.19,3.1,0
202203,3.06,-1.66,-1.76,0.01
202204,-9.46,-1.38,6.17,0.01
202205,-0.34,-1.96,8.59,0.03
202206,-8.44,2.18,-6.1,0.06
202207,9.57,2.8,-4.03,0.08
202208,-3.77,1.4,0.29,0.19
202209,-9.35,-0.82,0.02,0.19
202210,7.83,0.07,8.06,0.23
202211,4.61,-3.51,1.41,0.29
202212,-6.41,-0.69,1.34,0.33
202301,6.64,5.01,-4,0.35
202302,-2.59,1.17,-0.83,0.34
202303,2.51,-5.51,-8.87,0.36
202304,0.61,-3.36,-0.05,0.35
202305,0.35,1.6,-7.74,0.36
202306,6.47,1.55,-0.2,0.4
202307,3.21,2.05,4.11,0.45
202308,-2.39,-3.2,-1.08,0.45
202309,-5.24,-2.49,1.45,0.43
202310,-3.18,-3.88,0.19,0.47
202311,8.83,-0.03,1.66,0.44
202312,4.87,6.36,4.92,0.43
202401,0.7,-5.02,-2.47,0.47
202402,5.07,-0.22,-3.52,0.42
202403,2.83,-2.51,4.22,0.43
202404,-4.67,-2.39,-0.52,0.47
202405,4.34,0.78,-1.67,0.44
202406,2.77,-3.06,-3.31,0.41
202407,1.24,6.8,5.74,0.45
202408,1.61,-3.55,-1.13,0.48
202409,1.74,-0.17,-2.59,0.4
202410,-0.97,-1.01,0.89,0.39
202411,6.51,4.63,-0.05,0.4
202412,-3.17,-2.73,-2.95,0.37
